,,,,Marketwise Price & Arrival Report (19-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 19 Mar, 2026","Price on 18 Mar, 2026","Price on 17 Mar, 2026","Arrival on 19 Mar, 2026","Arrival on 18 Mar, 2026","Arrival on 17 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2055.13,1990.61,2245.88,833.18,1103.69,1310.66
Cereals,Barley(Jau),2150.00,2004.52,1883.41,1914.04,972.37,1678.53,1842.79
Cereals,Jowar(Sorghum),3699.00,4682.40,4315.51,4303.40,241.36,419.30,480.46
Cereals,Maize,2400.00,1701.32,1662.59,1655.51,10007.21,20571.95,17440.74
Cereals,Paddy(Common),2369.00,2827.56,3031.62,2945.26,16346.26,18312.52,19711.89
Cereals,Ragi(Finger Millet),4886.00,3114.31,3770.85,3565.42,60.10,354.70,363.70
Cereals,Wheat,2585.00,2337.55,2354.57,2357.78,35660.31,64726.91,81774.59
Fibre Crops,Cotton,7710.00,7434.13,7526.59,7578.73,1964.77,2882.10,4069.70
Oil Seeds,Copra,12100.00,16561.67,22941.01,20119.11,22.70,62.40,86.10
Oil Seeds,Groundnut,7263.00,7092.54,6645.43,7581.86,337.04,605.95,5802.54
Oil Seeds,Mustard,6200.00,6283.28,6156.85,6003.44,10958.44,42849.42,28764.18
Oil Seeds,Niger Seed(Ramtil),9537.00,9900.00,-,-,3.00,-,-
Oil Seeds,Safflower,6540.00,-,-,4846.57,-,-,18.60
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,9699.00,9753.01,10314.32,45.21,81.49,92.42
Oil Seeds,Soyabean,5328.00,5303.36,5173.65,5205.08,3652.52,4599.99,7698.88
Oil Seeds,Sunflower,7721.00,6788.27,7086.48,7054.69,265.30,895.20,866.80
Oil Seeds,Sunflower Seed,6760.00,-,-,5001.00,-,-,8.00
Others,Sugarcane,285.00,300.00,300.00,300.00,9.50,11.00,12.00
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7412.54,7222.92,7572.29,1041.68,1553.15,2220.19
Pulses,Bengal Gram(Gram)(Whole),5875.00,5253.14,5200.48,5309.69,4383.46,8746.23,9635.82
Pulses,Black Gram(Urd Beans)(Whole),7800.00,8286.08,8241.53,8138.09,297.94,395.65,558.67
Pulses,Green Gram(Moong)(Whole),8768.00,7201.15,10076.99,7868.07,80.90,857.85,408.88
Pulses,Lentil(Masur)(Whole),7000.00,6864.95,6785.08,6605.05,760.33,1791.43,2522.56
Vegetables,Onion,-,1075.41,1046.17,1071.91,14876.03,14934.47,20550.94
Vegetables,Potato,-,604.06,721.85,677.71,14365.96,8555.04,11696.57
Vegetables,Tomato,-,1295.27,1425.07,1345.71,3378.68,2633.93,4728.90

